order_id,customer_id,order_date,month,order_value,order_status,order_channel,source
ORD075,CUST009,2026-01-17,Jan,2400,Completed,Dine-in,Walk-in
ORD076,CUST005,2026-01-17,Jan,2750,Completed,Dine-in,Instagram
ORD077,CUST013,2026-01-17,Jan,500,Completed,Dine-in,Zomato
ORD078,CUST015,2026-01-17,Jan,950,Completed,Dine-in,Instagram
ORD079,CUST010,2026-01-17,Jan,1550,Completed,Dine-in,Walk-in
ORD080,CUST006,2026-01-17,Jan,900,Completed,Dine-in,Instagram
ORD081,CUST001,2026-01-18,Jan,850,Completed,Takeaway,Walk-in
ORD082,CUST001,2026-01-18,Jan,1500,Completed,Dine-in,Instagram
ORD083,CUST013,2026-01-18,Jan,450,Completed,Dine-in,Instagram
ORD084,CUST010,2026-01-18,Jan,1250,Completed,Takeaway,Walk-in
ORD085,CUST002,2026-01-18,Jan,1750,Completed,Takeaway,Zomato
ORD086,CUST007,2026-01-18,Jan,1750,Completed,Dine-in,Instagram
ORD087,CUST012,2026-01-18,Jan,1400,Completed,Dine-in,Instagram
ORD088,CUST015,2026-01-18,Jan,850,Completed,Dine-in,Walk-in
ORD089,CUST010,2026-01-19,Jan,1250,Completed,Takeaway,Referral
ORD090,CUST009,2026-01-19,Jan,1250,Completed,Dine-in,Instagram
ORD091,CUST013,2026-01-19,Jan,700,Completed,Dine-in,Walk-in
ORD092,CUST008,2026-01-19,Jan,750,Completed,Dine-in,Zomato
ORD093,CUST015,2026-01-20,Jan,900,Completed,Dine-in,Instagram
ORD094,CUST010,2026-01-20,Jan,900,Completed,Dine-in,Referral
ORD095,CUST012,2026-01-21,Jan,600,Cancelled,Dine-in,Walk-in
ORD096,CUST014,2026-01-21,Jan,2050,Completed,Dine-in,Walk-in
ORD097,CUST013,2026-01-22,Jan,650,Completed,Dine-in,Walk-in
ORD098,CUST007,2026-01-22,Jan,900,Completed,Dine-in,Walk-in
ORD099,CUST012,2026-01-23,Jan,1000,Completed,Takeaway,Walk-in
ORD100,CUST007,2026-01-23,Jan,1250,Completed,Dine-in,Instagram
ORD101,CUST005,2026-01-23,Jan,2700,Completed,Dine-in,Instagram
ORD102,CUST012,2026-01-24,Jan,1850,Completed,Dine-in,Swiggy
ORD103,CUST015,2026-01-24,Jan,1300,Completed,Takeaway,Instagram
ORD104,CUST005,2026-01-24,Jan,2950,Completed,Dine-in,Instagram
ORD105,CUST004,2026-01-24,Jan,900,Completed,Dine-in,Instagram
ORD106,CUST010,2026-01-24,Jan,1450,Completed,Dine-in,Walk-in
ORD107,CUST012,2026-01-25,Jan,1850,Completed,Takeaway,Walk-in
ORD108,CUST002,2026-01-25,Jan,1450,Completed,Dine-in,Instagram
ORD109,CUST013,2026-01-25,Jan,750,Completed,Dine-in,Instagram
ORD110,CUST003,2026-01-25,Jan,3400,Completed,Dine-in,Walk-in
ORD111,CUST001,2026-01-25,Jan,1100,Completed,Takeaway,Walk-in
ORD112,CUST011,2026-01-25,Jan,750,Completed,Dine-in,Instagram
ORD113,CUST003,2026-01-25,Jan,1900,Completed,Dine-in,Instagram
ORD114,CUST009,2026-01-26,Jan,1800,Completed,Dine-in,Walk-in
ORD115,CUST009,2026-01-26,Jan,1250,Completed,Dine-in,Instagram
ORD116,CUST001,2026-01-26,Jan,950,Completed,Dine-in,Swiggy
ORD117,CUST009,2026-01-27,Jan,1550,Completed,Dine-in,Zomato
ORD118,CUST006,2026-01-28,Jan,300,Completed,Takeaway,Zomato
ORD119,CUST004,2026-01-28,Jan,300,Completed,Takeaway,Referral
ORD120,CUST007,2026-01-28,Jan,900,Completed,Dine-in,Swiggy
ORD121,CUST015,2026-01-29,Jan,700,Completed,Dine-in,Walk-in
ORD122,CUST002,2026-01-30,Jan,450,Completed,Dine-in,Instagram
ORD123,CUST010,2026-01-30,Jan,1100,Completed,Takeaway,Instagram
ORD124,CUST015,2026-01-30,Jan,500,Completed,Dine-in,Walk-in
ORD125,CUST009,2026-01-31,Jan,2150,Completed,Dine-in,Walk-in
ORD126,CUST005,2026-01-31,Jan,2050,Completed,Takeaway,Walk-in
ORD127,CUST004,2026-01-31,Jan,850,Completed,Dine-in,Walk-in
ORD128,CUST008,2026-01-31,Jan,450,Completed,Dine-in,Zomato
ORD129,CUST002,2026-01-31,Jan,750,Completed,Dine-in,Referral
ORD130,CUST013,2026-02-01,Feb,1100,Completed,Dine-in,Instagram
ORD131,CUST010,2026-02-01,Feb,1050,Completed,Dine-in,Walk-in
ORD132,CUST014,2026-02-01,Feb,3200,Completed,Dine-in,Walk-in
ORD133,CUST005,2026-02-01,Feb,1900,Completed,Dine-in,Swiggy
ORD134,CUST013,2026-02-01,Feb,1200,Completed,Dine-in,Zomato
ORD135,CUST012,2026-02-01,Feb,950,Completed,Dine-in,Zomato
ORD136,CUST011,2026-02-01,Feb,1100,Completed,Takeaway,Instagram
ORD137,CUST014,2026-02-01,Feb,1850,Completed,Dine-in,Instagram
ORD138,CUST008,2026-02-01,Feb,400,Completed,Dine-in,Walk-in
ORD139,CUST003,2026-02-02,Feb,2600,Completed,Dine-in,Walk-in
ORD140,CUST009,2026-02-02,Feb,1650,Completed,Takeaway,Zomato
ORD141,CUST006,2026-02-02,Feb,700,Completed,Dine-in,Instagram
ORD142,CUST001,2026-02-03,Feb,750,Completed,Dine-in,Referral
ORD143,CUST012,2026-02-03,Feb,1100,Completed,Dine-in,Walk-in
ORD144,CUST010,2026-02-03,Feb,750,Completed,Takeaway,Walk-in
ORD145,CUST013,2026-02-04,Feb,800,Completed,Takeaway,Walk-in
ORD146,CUST006,2026-02-04,Feb,750,Completed,Dine-in,Zomato
ORD147,CUST012,2026-02-04,Feb,650,Completed,Takeaway,Instagram
ORD148,CUST004,2026-02-05,Feb,700,Completed,Dine-in,Instagram
ORD149,CUST002,2026-02-05,Feb,800,Cancelled,Dine-in,Walk-in
ORD150,CUST011,2026-02-05,Feb,800,Completed,Takeaway,Instagram
ORD151,CUST009,2026-02-06,Feb,1200,Completed,Takeaway,Swiggy
ORD152,CUST006,2026-02-06,Feb,600,Completed,Dine-in,Walk-in
ORD153,CUST008,2026-02-06,Feb,900,Completed,Takeaway,Walk-in
ORD154,CUST008,2026-02-06,Feb,800,Completed,Dine-in,Referral
ORD155,CUST008,2026-02-07,Feb,1150,Completed,Dine-in,Referral
ORD156,CUST002,2026-02-07,Feb,1350,Completed,Dine-in,Zomato
ORD157,CUST012,2026-02-07,Feb,1050,Completed,Dine-in,Swiggy
ORD158,CUST002,2026-02-07,Feb,1050,Completed,Dine-in,Instagram
ORD159,CUST001,2026-02-07,Feb,1400,Completed,Dine-in,Walk-in
ORD160,CUST001,2026-02-07,Feb,1050,Completed,Dine-in,Instagram
ORD161,CUST009,2026-02-07,Feb,3450,Completed,Dine-in,Referral
ORD162,CUST014,2026-02-07,Feb,2650,Completed,Dine-in,Instagram
ORD163,CUST001,2026-02-07,Feb,1750,Completed,Dine-in,Walk-in
ORD164,CUST015,2026-02-08,Feb,1300,Completed,Dine-in,Zomato
ORD165,CUST012,2026-02-08,Feb,1800,Completed,Takeaway,Referral
ORD166,CUST001,2026-02-08,Feb,1350,Completed,Dine-in,Walk-in
ORD167,CUST002,2026-02-08,Feb,950,Completed,Dine-in,Zomato
ORD168,CUST003,2026-02-08,Feb,2650,Completed,Dine-in,Instagram
ORD169,CUST015,2026-02-08,Feb,2050,Completed,Takeaway,Instagram
ORD170,CUST003,2026-02-08,Feb,3650,Completed,Dine-in,Walk-in
ORD171,CUST011,2026-02-08,Feb,1000,Completed,Dine-in,Instagram
ORD172,CUST007,2026-02-09,Feb,950,Completed,Dine-in,Instagram
ORD173,CUST014,2026-02-09,Feb,1450,Completed,Dine-in,Swiggy
ORD174,CUST014,2026-02-09,Feb,2550,Cancelled,Dine-in,Zomato
ORD175,CUST004,2026-02-09,Feb,700,Completed,Dine-in,Walk-in
ORD176,CUST011,2026-02-10,Feb,350,Completed,Dine-in,Instagram
ORD177,CUST008,2026-02-10,Feb,450,Cancelled,Dine-in,Instagram
ORD178,CUST004,2026-02-11,Feb,600,Completed,Dine-in,Walk-in
ORD179,CUST005,2026-02-11,Feb,2100,Completed,Dine-in,Walk-in
ORD180,CUST001,2026-02-11,Feb,1250,Completed,Dine-in,Instagram
ORD181,CUST008,2026-02-11,Feb,700,Completed,Dine-in,Instagram
ORD182,CUST014,2026-02-12,Feb,2250,Completed,Dine-in,Swiggy
ORD183,CUST008,2026-02-12,Feb,550,Completed,Dine-in,Instagram
ORD184,CUST012,2026-02-12,Feb,800,Completed,Dine-in,Referral
ORD185,CUST002,2026-02-12,Feb,1150,Completed,Dine-in,Walk-in
ORD186,CUST001,2026-02-12,Feb,800,Completed,Dine-in,Swiggy
ORD187,CUST002,2026-02-13,Feb,750,Cancelled,Dine-in,Walk-in
ORD188,CUST002,2026-02-13,Feb,650,Completed,Dine-in,Instagram
ORD189,CUST003,2026-02-14,Feb,4600,Cancelled,Takeaway,Walk-in
ORD190,CUST004,2026-02-14,Feb,1850,Completed,Dine-in,Zomato
ORD191,CUST012,2026-02-14,Feb,2150,Completed,Dine-in,Walk-in
ORD192,CUST011,2026-02-14,Feb,1000,Completed,Takeaway,Instagram
ORD193,CUST002,2026-02-14,Feb,2100,Completed,Dine-in,Instagram
ORD194,CUST001,2026-02-14,Feb,1700,Completed,Dine-in,Walk-in
ORD195,CUST003,2026-02-14,Feb,3550,Completed,Dine-in,Instagram
ORD196,CUST004,2026-02-15,Feb,1250,Completed,Takeaway,Referral
ORD197,CUST010,2026-02-15,Feb,1300,Completed,Dine-in,Referral
ORD198,CUST009,2026-02-15,Feb,4100,Completed,Takeaway,Zomato
ORD199,CUST013,2026-02-15,Feb,800,Completed,Dine-in,Walk-in
ORD200,CUST002,2026-02-15,Feb,1600,Completed,Takeaway,Walk-in
ORD201,CUST013,2026-02-15,Feb,900,Completed,Dine-in,Walk-in
ORD202,CUST002,2026-02-16,Feb,1200,Completed,Dine-in,Instagram
ORD203,CUST003,2026-02-16,Feb,1500,Completed,Dine-in,Referral
ORD204,CUST003,2026-02-17,Feb,1900,Completed,Dine-in,Instagram
ORD205,CUST011,2026-02-17,Feb,600,Completed,Takeaway,Walk-in
ORD206,CUST012,2026-02-17,Feb,1200,Completed,Dine-in,Instagram
ORD207,CUST008,2026-02-17,Feb,500,Completed,Dine-in,Instagram
ORD208,CUST009,2026-02-17,Feb,2150,Completed,Dine-in,Zomato
ORD209,CUST013,2026-02-18,Feb,450,Completed,Dine-in,Instagram
ORD210,CUST003,2026-02-18,Feb,2000,Completed,Dine-in,Walk-in
ORD211,CUST004,2026-02-18,Feb,450,Completed,Takeaway,Walk-in
ORD212,CUST002,2026-02-18,Feb,1200,Completed,Takeaway,Instagram
ORD213,CUST013,2026-02-18,Feb,900,Completed,Dine-in,Referral
ORD214,CUST008,2026-02-19,Feb,900,Completed,Dine-in,Zomato
ORD215,CUST006,2026-02-19,Feb,650,Completed,Dine-in,Walk-in
ORD216,CUST012,2026-02-20,Feb,850,Completed,Dine-in,Instagram
ORD217,CUST010,2026-02-20,Feb,1100,Completed,Dine-in,Instagram
ORD218,CUST007,2026-02-20,Feb,1300,Completed,Dine-in,Instagram
ORD219,CUST004,2026-02-21,Feb,500,Completed,Dine-in,Swiggy
ORD220,CUST004,2026-02-21,Feb,1200,Completed,Dine-in,Walk-in
ORD221,CUST015,2026-02-21,Feb,1000,Completed,Dine-in,Walk-in
ORD222,CUST014,2026-02-21,Feb,3400,Completed,Dine-in,Instagram
ORD223,CUST008,2026-02-21,Feb,750,Completed,Takeaway,Zomato
ORD224,CUST015,2026-02-21,Feb,1700,Completed,Dine-in,Referral
ORD225,CUST003,2026-02-22,Feb,2850,Completed,Takeaway,Zomato
ORD226,CUST006,2026-02-22,Feb,550,Cancelled,Dine-in,Referral
ORD227,CUST008,2026-02-22,Feb,1050,Completed,Takeaway,Walk-in
ORD228,CUST010,2026-02-22,Feb,1700,Cancelled,Dine-in,Instagram
ORD229,CUST004,2026-02-22,Feb,1200,Completed,Dine-in,Instagram
ORD230,CUST007,2026-02-22,Feb,1900,Completed,Dine-in,Zomato
ORD231,CUST001,2026-02-23,Feb,1350,Completed,Dine-in,Swiggy
ORD232,CUST001,2026-02-23,Feb,900,Completed,Dine-in,Instagram
ORD233,CUST006,2026-02-23,Feb,400,Completed,Takeaway,Instagram
ORD234,CUST006,2026-02-23,Feb,700,Completed,Dine-in,Walk-in
ORD235,CUST002,2026-02-23,Feb,1200,Completed,Dine-in,Zomato
ORD236,CUST001,2026-02-24,Feb,1350,Cancelled,Dine-in,Walk-in
ORD237,CUST014,2026-02-24,Feb,1800,Completed,Dine-in,Swiggy
ORD238,CUST001,2026-02-24,Feb,800,Completed,Takeaway,Referral
ORD239,CUST001,2026-02-24,Feb,800,Completed,Takeaway,Walk-in
ORD240,CUST009,2026-02-24,Feb,1500,Completed,Dine-in,Referral
ORD241,CUST008,2026-02-25,Feb,800,Completed,Dine-in,Walk-in
ORD242,CUST013,2026-02-25,Feb,850,Completed,Dine-in,Instagram
ORD243,CUST015,2026-02-26,Feb,900,Completed,Dine-in,Instagram
ORD244,CUST006,2026-02-26,Feb,650,Completed,Dine-in,Instagram
ORD245,CUST008,2026-02-27,Feb,300,Completed,Dine-in,Walk-in
ORD246,CUST001,2026-02-27,Feb,500,Completed,Dine-in,Walk-in
ORD247,CUST009,2026-02-27,Feb,1700,Completed,Dine-in,Swiggy
ORD248,CUST013,2026-02-28,Feb,400,Completed,Dine-in,Walk-in
ORD249,CUST013,2026-02-28,Feb,350,Completed,Dine-in,Instagram
ORD250,CUST003,2026-02-28,Feb,2650,Completed,Takeaway,Walk-in
ORD251,CUST009,2026-02-28,Feb,1250,Completed,Dine-in,Instagram
ORD252,CUST012,2026-02-28,Feb,800,Completed,Takeaway,Instagram
ORD253,CUST002,2026-02-28,Feb,1050,Completed,Dine-in,Walk-in
ORD254,CUST010,2026-03-01,Mar,1350,Completed,Dine-in,Walk-in
ORD255,CUST003,2026-03-01,Mar,3100,Completed,Takeaway,Zomato
ORD256,CUST009,2026-03-01,Mar,2500,Completed,Takeaway,Swiggy
ORD257,CUST003,2026-03-01,Mar,2250,Completed,Dine-in,Referral
ORD258,CUST001,2026-03-01,Mar,1500,Completed,Dine-in,Instagram
ORD259,CUST005,2026-03-01,Mar,3450,Completed,Dine-in,Walk-in
ORD260,CUST006,2026-03-01,Mar,1200,Completed,Dine-in,Walk-in
ORD261,CUST012,2026-03-01,Mar,1600,Completed,Dine-in,Walk-in
ORD262,CUST006,2026-03-01,Mar,500,Completed,Dine-in,Zomato
ORD263,CUST013,2026-03-02,Mar,750,Completed,Dine-in,Instagram
ORD264,CUST015,2026-03-02,Mar,700,Completed,Dine-in,Walk-in
ORD265,CUST012,2026-03-02,Mar,700,Completed,Takeaway,Walk-in
ORD266,CUST004,2026-03-03,Mar,850,Completed,Dine-in,Walk-in
ORD267,CUST006,2026-03-03,Mar,750,Completed,Dine-in,Swiggy
ORD268,CUST005,2026-03-03,Mar,2000,Completed,Takeaway,Instagram
ORD269,CUST013,2026-03-04,Mar,550,Completed,Takeaway,Instagram
ORD270,CUST012,2026-03-04,Mar,1250,Completed,Dine-in,Zomato
ORD271,CUST010,2026-03-04,Mar,1350,Completed,Dine-in,Swiggy
ORD272,CUST008,2026-03-04,Mar,850,Completed,Dine-in,Instagram
ORD273,CUST004,2026-03-04,Mar,550,Completed,Dine-in,Walk-in
ORD274,CUST005,2026-03-05,Mar,2100,Completed,Takeaway,Instagram
ORD275,CUST014,2026-03-05,Mar,1450,Completed,Dine-in,Swiggy
ORD276,CUST010,2026-03-06,Mar,1050,Completed,Takeaway,Walk-in
ORD277,CUST010,2026-03-06,Mar,1150,Completed,Dine-in,Instagram
ORD278,CUST002,2026-03-06,Mar,650,Completed,Dine-in,Instagram
ORD279,CUST004,2026-03-06,Mar,550,Completed,Takeaway,Zomato
ORD280,CUST002,2026-03-06,Mar,700,Completed,Dine-in,Walk-in
ORD281,CUST004,2026-03-07,Mar,400,Completed,Dine-in,Instagram
ORD282,CUST003,2026-03-07,Mar,2350,Completed,Dine-in,Walk-in
ORD283,CUST006,2026-03-07,Mar,750,Completed,Dine-in,Zomato
ORD284,CUST007,2026-03-07,Mar,1600,Completed,Dine-in,Instagram
ORD285,CUST010,2026-03-07,Mar,1450,Completed,Takeaway,Walk-in
ORD286,CUST014,2026-03-07,Mar,3550,Completed,Dine-in,Walk-in
ORD287,CUST014,2026-03-07,Mar,2900,Completed,Takeaway,Walk-in
ORD288,CUST008,2026-03-07,Mar,950,Completed,Dine-in,Swiggy
ORD289,CUST010,2026-03-07,Mar,1450,Completed,Takeaway,Walk-in
ORD290,CUST003,2026-03-08,Mar,3000,Completed,Dine-in,Instagram
ORD291,CUST001,2026-03-08,Mar,950,Cancelled,Dine-in,Swiggy
ORD292,CUST010,2026-03-08,Mar,1350,Completed,Takeaway,Walk-in
ORD293,CUST013,2026-03-08,Mar,600,Completed,Dine-in,Walk-in
ORD294,CUST013,2026-03-08,Mar,1000,Completed,Dine-in,Walk-in
ORD295,CUST007,2026-03-08,Mar,1000,Completed,Dine-in,Zomato
ORD296,CUST012,2026-03-08,Mar,1200,Completed,Dine-in,Instagram
ORD297,CUST012,2026-03-09,Mar,600,Completed,Dine-in,Walk-in
ORD298,CUST011,2026-03-09,Mar,300,Completed,Takeaway,Walk-in
ORD299,CUST002,2026-03-09,Mar,700,Cancelled,Dine-in,Instagram
ORD300,CUST012,2026-03-09,Mar,700,Completed,Takeaway,Referral
ORD301,CUST012,2026-03-10,Mar,950,Completed,Dine-in,Walk-in
ORD302,CUST005,2026-03-10,Mar,1700,Completed,Dine-in,Swiggy
ORD303,CUST001,2026-03-10,Mar,1200,Completed,Dine-in,Walk-in
ORD304,CUST015,2026-03-11,Mar,650,Completed,Dine-in,Instagram
ORD305,CUST003,2026-03-11,Mar,2750,Completed,Dine-in,Walk-in
ORD306,CUST012,2026-03-12,Mar,900,Completed,Dine-in,Instagram
ORD307,CUST008,2026-03-12,Mar,800,Completed,Dine-in,Walk-in
ORD308,CUST007,2026-03-12,Mar,900,Completed,Takeaway,Walk-in
ORD309,CUST009,2026-03-12,Mar,2600,Completed,Takeaway,Swiggy
ORD310,CUST007,2026-03-12,Mar,800,Completed,Takeaway,Instagram
ORD311,CUST009,2026-03-13,Mar,2350,Completed,Dine-in,Instagram
ORD312,CUST007,2026-03-13,Mar,600,Completed,Dine-in,Instagram
ORD313,CUST010,2026-03-13,Mar,1000,Completed,Takeaway,Referral
ORD314,CUST001,2026-03-13,Mar,1100,Completed,Dine-in,Instagram
ORD315,CUST012,2026-03-13,Mar,650,Completed,Dine-in,Walk-in
ORD316,CUST006,2026-03-14,Mar,400,Completed,Dine-in,Instagram
ORD317,CUST007,2026-03-14,Mar,1100,Cancelled,Takeaway,Walk-in
ORD318,CUST002,2026-03-14,Mar,2050,Completed,Takeaway,Instagram
ORD319,CUST006,2026-03-14,Mar,1100,Completed,Dine-in,Walk-in
ORD320,CUST013,2026-03-14,Mar,450,Completed,Dine-in,Instagram
ORD321,CUST010,2026-03-14,Mar,1250,Completed,Dine-in,Walk-in
ORD322,CUST007,2026-03-14,Mar,1250,Completed,Takeaway,Instagram
ORD323,CUST003,2026-03-14,Mar,1900,Completed,Dine-in,Referral
ORD324,CUST014,2026-03-14,Mar,2600,Completed,Dine-in,Referral
ORD325,CUST014,2026-03-15,Mar,2100,Cancelled,Takeaway,Referral
ORD326,CUST006,2026-03-15,Mar,800,Completed,Takeaway,Instagram
ORD327,CUST007,2026-03-15,Mar,1250,Completed,Dine-in,Walk-in
ORD328,CUST002,2026-03-15,Mar,1000,Completed,Dine-in,Zomato
ORD329,CUST010,2026-03-15,Mar,2000,Completed,Dine-in,Walk-in
ORD330,CUST003,2026-03-16,Mar,2250,Completed,Dine-in,Walk-in
ORD331,CUST005,2026-03-16,Mar,2200,Completed,Dine-in,Swiggy
ORD332,CUST011,2026-03-17,Mar,800,Completed,Dine-in,Instagram
ORD333,CUST012,2026-03-17,Mar,1250,Completed,Dine-in,Instagram
ORD334,CUST001,2026-03-17,Mar,700,Completed,Takeaway,Referral
ORD335,CUST014,2026-03-17,Mar,2700,Completed,Dine-in,Zomato
ORD336,CUST011,2026-03-17,Mar,700,Completed,Dine-in,Walk-in
ORD337,CUST012,2026-03-18,Mar,650,Completed,Dine-in,Referral
ORD338,CUST005,2026-03-18,Mar,2050,Completed,Dine-in,Walk-in
ORD339,CUST015,2026-03-18,Mar,1000,Completed,Takeaway,Swiggy
ORD340,CUST003,2026-03-18,Mar,1600,Completed,Dine-in,Referral
ORD341,CUST007,2026-03-19,Mar,1300,Completed,Dine-in,Referral
ORD342,CUST009,2026-03-19,Mar,1900,Completed,Dine-in,Walk-in
ORD343,CUST003,2026-03-19,Mar,1250,Completed,Dine-in,Zomato
ORD344,CUST007,2026-03-19,Mar,700,Completed,Dine-in,Walk-in
ORD345,CUST002,2026-03-20,Mar,650,Completed,Dine-in,Walk-in
ORD346,CUST010,2026-03-20,Mar,850,Completed,Dine-in,Referral
ORD347,CUST004,2026-03-20,Mar,700,Completed,Dine-in,Walk-in
ORD348,CUST014,2026-03-20,Mar,1900,Completed,Dine-in,Walk-in
ORD349,CUST008,2026-03-21,Mar,450,Completed,Dine-in,Instagram
ORD350,CUST001,2026-03-21,Mar,1050,Completed,Dine-in,Walk-in
ORD351,CUST005,2026-03-21,Mar,3400,Completed,Dine-in,Walk-in
ORD352,CUST008,2026-03-21,Mar,1350,Cancelled,Dine-in,Walk-in
ORD353,CUST002,2026-03-21,Mar,1450,Cancelled,Dine-in,Instagram
ORD354,CUST001,2026-03-22,Mar,1450,Completed,Takeaway,Walk-in
ORD355,CUST002,2026-03-22,Mar,1150,Cancelled,Takeaway,Walk-in
ORD356,CUST004,2026-03-22,Mar,800,Completed,Dine-in,Walk-in
